"","model","closurePer","spatialRes","Species","nSpeciesSites","nSpeciesObs","alphaPrec","alphaPPrec","DIC"
"1","Model 1","1yr","1x1km","Vespula vulgaris",497,2053,0.859168156712867,0.935180441757829,5326.48829382984
"2","Model 1","1yr","1x1km","Vespula germanica",378,1089,0.772498083367676,0.946738667747737,4785.15396109759
"3","Model 1","1yr","1x1km","Vespa crabro",292,935,0.828415946060192,0.919161696357262,2882.46975836372
"4","Model 2","5yrs","1x1km","Vespula vulgaris",497,2053,0.840451985805556,0.952284589391615,4865.25072154715
"5","Model 2","5yrs","1x1km","Vespula germanica",378,1089,0.731058648936955,0.957541648523443,4278.78438669338
"6","Model 2","5yrs","1x1km","Vespa crabro",292,935,0.734794998649289,0.937026268085407,2770.71789478715
"7","Model 3","10yrs","1x1km","Vespula vulgaris",497,2053,0.835547910016374,0.960687939887897,4875.09732220812
"8","Model 3","10yrs","1x1km","Vespula germanica",378,1089,0.731071748416494,0.96301001338581,4091.64185530699
"9","Model 3","10yrs","1x1km","Vespa crabro",292,935,0.747845980899299,0.936109242917171,2958.37593867563
"10","Model 4","1yr","2x2km","Vespula vulgaris",447,2053,0.867617373990276,0.933769394290092,5090.43344933363
"11","Model 4","1yr","2x2km","Vespula germanica",343,1089,0.781939979592329,0.946903977806734,4682.02332864791
"12","Model 4","1yr","2x2km","Vespa crabro",268,935,0.823332441464672,0.9226778348545,2984.50590782509
"13","Model 5","5yrs","2x2km","Vespula vulgaris",447,2053,0.824470775701067,0.952893482094949,4832.0720413983
"14","Model 5","5yrs","2x2km","Vespula germanica",343,1089,0.745501879668131,0.958017189661652,4280.93207793257
"15","Model 5","5yrs","2x2km","Vespa crabro",268,935,0.736989092378242,0.938279459165015,2925.04989531732
"16","Model 6","10yrs","2x2km","Vespula vulgaris",447,2053,0.798669388992367,0.962028736711815,4823.52246887844
"17","Model 6","10yrs","2x2km","Vespula germanica",343,1089,0.731984662564459,0.962993873880963,4110.47948046817
"18","Model 6","10yrs","2x2km","Vespa crabro",268,935,0.764198892548239,0.944495427406705,3031.01114246206
"19","Model 7","1yr","5x5km","Vespula vulgaris",358,2053,0.87285472553065,0.933404565160585,4940.08811406704
"20","Model 7","1yr","5x5km","Vespula germanica",283,1089,0.799149521595314,0.947943487532491,4216.22942738982
"21","Model 7","1yr","5x5km","Vespa crabro",213,935,0.840833740717055,0.91508181873797,2984.00827096123
"22","Model 8","5yrs","5x5km","Vespula vulgaris",358,2053,0.869466709945162,0.952721537617557,4783.13485173564
"23","Model 8","5yrs","5x5km","Vespula germanica",283,1089,0.733863306609752,0.959568820766925,4109.7649845198
"24","Model 8","5yrs","5x5km","Vespa crabro",213,935,0.798581657697236,0.930961393834599,3205.65528329104
"25","Model 9","10yrs","5x5km","Vespula vulgaris",358,2053,0.836956334868037,0.962676280455888,4770.46535265366
"26","Model 9","10yrs","5x5km","Vespula germanica",283,1089,0.731059295689141,0.964007666501928,4078.93887569372
"27","Model 9","10yrs","5x5km","Vespa crabro",213,935,0.816463176341779,0.947470297626951,3096.90431930112
"28","Model 10","1yr","10x10km","Vespula vulgaris",256,2053,0.860355543222435,0.934380317661194,4914.97942416039
"29","Model 10","1yr","10x10km","Vespula germanica",207,1089,0.797679855069149,0.949692651721393,4279.02990263726
"30","Model 10","1yr","10x10km","Vespa crabro",147,935,0.83941925889198,0.918414963202542,2980.76235453532
"31","Model 11","5yrs","10x10km","Vespula vulgaris",256,2053,0.876511746544834,0.954264369555289,4710.76083925801
"32","Model 11","5yrs","10x10km","Vespula germanica",207,1089,0.732646927801932,0.960339581283946,3914.92322827358
"33","Model 11","5yrs","10x10km","Vespa crabro",147,935,0.798091063841407,0.939154958068285,3117.39257691251
"34","Model 12","10yrs","10x10km","Vespula vulgaris",256,2053,0.869685581634002,0.963588358837,4716.22803887932
"35","Model 12","10yrs","10x10km","Vespula germanica",207,1089,0.731072452255529,0.964377332477087,4010.43206028004
"36","Model 12","10yrs","10x10km","Vespa crabro",147,935,0.76656411357024,0.95745765923395,3161.26406525142
